Epoch 183, Loss 32.3959, TD-Loss 16.1772, NTD-Loss 17.4997, Margin Loss -1.2826, L2 Loss 0.0016
Epoch 184, Loss 47.7188, TD-Loss 15.2771, NTD-Loss 19.7240, Margin Loss 12.7160, L2 Loss 0.0016
Epoch 185, Loss 46.2649, TD-Loss 19.4284, NTD-Loss 20.9162, Margin Loss 5.9186, L2 Loss 0.0016
Epoch 186, Loss 40.2316, TD-Loss 14.9105, NTD-Loss 17.1026, Margin Loss 8.2168, L2 Loss 0.0016
Epoch 187, Loss 40.8984, TD-Loss 20.0678, NTD-Loss 19.4368, Margin Loss 1.3923, L2 Loss 0.0016
Epoch 188, Loss 34.9658, TD-Loss 15.2538, NTD-Loss 17.3263, Margin Loss 2.3840, L2 Loss 0.0016
Epoch 189, Loss 37.6988, TD-Loss 15.8407, NTD-Loss 18.3200, Margin Loss 3.5365, L2 Loss 0.0016
Epoch 190, Loss 30.9789, TD-Loss 14.1770, NTD-Loss 13.9709, Margin Loss 2.8294, L2 Loss 0.0016
Epoch 191, Loss 39.0686, TD-Loss 16.1997, NTD-Loss 18.0170, Margin Loss 4.8503, L2 Loss 0.0016
Epoch 192, Loss 41.6703, TD-Loss 17.3787, NTD-Loss 19.0255, Margin Loss 5.2645, L2 Loss 0.0016
Epoch 193, Loss 27.1815, TD-Loss 17.5375, NTD-Loss 17.5538, Margin Loss -7.9114, L2 Loss 0.0016
Epoch 194, Loss 42.2869, TD-Loss 14.3578, NTD-Loss 17.2359, Margin Loss 10.6916, L2 Loss 0.0016
Epoch 195, Loss 46.2387, TD-Loss 21.5994, NTD-Loss 21.5318, Margin Loss 3.1059, L2 Loss 0.0016
Epoch 196, Loss 34.4332, TD-Loss 12.4671, NTD-Loss 15.1644, Margin Loss 6.8000, L2 Loss 0.0016
Epoch 197, Loss 33.6697, TD-Loss 14.4995, NTD-Loss 17.1398, Margin Loss 2.0287, L2 Loss 0.0016
Epoch 198, Loss 43.8443, TD-Loss 14.3545, NTD-Loss 18.4672, Margin Loss 11.0209, L2 Loss 0.0016
Epoch 199, Loss 44.3280, TD-Loss 15.9914, NTD-Loss 17.2039, Margin Loss 11.1310, L2 Loss 0.0016
Epoch 200, Loss 46.5115, TD-Loss 7.5822, NTD-Loss 26.1552, Margin Loss 12.7724, L2 Loss 0.0016
Epoch 201, Loss 27.7359, TD-Loss 10.9980, NTD-Loss 18.1295, Margin Loss -1.3932, L2 Loss 0.0016
Epoch 202, Loss 15.6713, TD-Loss 11.7061, NTD-Loss 13.6568, Margin Loss -9.6932, L2 Loss 0.0016
Epoch 203, Loss 36.3162, TD-Loss 14.4035, NTD-Loss 15.5623, Margin Loss 6.3488, L2 Loss 0.0016
Epoch 204, Loss 26.5440, TD-Loss 10.7858, NTD-Loss 17.1137, Margin Loss -1.3572, L2 Loss 0.0016
Epoch 205, Loss 27.1833, TD-Loss 11.6337, NTD-Loss 15.8448, Margin Loss -0.2968, L2 Loss 0.0016
Epoch 206, Loss 32.2112, TD-Loss 14.7390, NTD-Loss 20.4604, Margin Loss -2.9898, L2 Loss 0.0016
Epoch 207, Loss 21.8957, TD-Loss 11.6979, NTD-Loss 12.2762, Margin Loss -2.0801, L2 Loss 0.0016
