Epoch 201, Loss 34.2725, TD-Loss 14.2112, NTD-Loss 18.3651, Margin Loss 1.6945, L2 Loss 0.0017
Epoch 202, Loss 29.6963, TD-Loss 13.2722, NTD-Loss 17.4717, Margin Loss -1.0493, L2 Loss 0.0017
Epoch 203, Loss 28.8095, TD-Loss 12.5073, NTD-Loss 14.3315, Margin Loss 1.9691, L2 Loss 0.0017
Epoch 204, Loss 24.7771, TD-Loss 10.7169, NTD-Loss 13.0882, Margin Loss 0.9703, L2 Loss 0.0017
Epoch 205, Loss 29.6533, TD-Loss 14.8099, NTD-Loss 16.4142, Margin Loss -1.5725, L2 Loss 0.0017
Epoch 206, Loss 28.9646, TD-Loss 13.9289, NTD-Loss 15.5421, Margin Loss -0.5082, L2 Loss 0.0017
Epoch 207, Loss 26.7976, TD-Loss 12.0878, NTD-Loss 13.5734, Margin Loss 1.1347, L2 Loss 0.0017
Epoch 208, Loss 24.0077, TD-Loss 11.4999, NTD-Loss 11.8534, Margin Loss 0.6527, L2 Loss 0.0017
Epoch 209, Loss 27.6653, TD-Loss 13.0122, NTD-Loss 13.5366, Margin Loss 1.1149, L2 Loss 0.0017
Epoch 210, Loss 29.3845, TD-Loss 14.2646, NTD-Loss 14.9872, Margin Loss 0.1310, L2 Loss 0.0017
Epoch 211, Loss 29.8446, TD-Loss 14.6826, NTD-Loss 15.1619, Margin Loss -0.0017, L2 Loss 0.0017
Epoch 212, Loss 23.3569, TD-Loss 10.5408, NTD-Loss 11.6091, Margin Loss 1.2053, L2 Loss 0.0017
Epoch 213, Loss 31.7383, TD-Loss 13.9751, NTD-Loss 14.9458, Margin Loss 2.8157, L2 Loss 0.0017
Epoch 214, Loss 25.3591, TD-Loss 13.3499, NTD-Loss 14.3582, Margin Loss -2.3507, L2 Loss 0.0017
